id,Guess_1,hypocrite,inauthentic,disingenuous,moral,ethical,trust,comm_h,lie_freq,future_lie,extreme_lie,Q602,Q603,Q600,Q489,Q490,Q615,hypo_2,inauth_2,disingen_2,moral_2,ethical_2,trust_2,comm_h2,lie_freq2,future_lie2,extreme_lie2,Q811,final_guess,gender,econ,age,purpose,condition,Country,Advice_num,Advice_denom,advice
62,100,Neither agree nor disagree,Disagree,Strongly disagree,Very,Very,Extremely,Extremely,Not often at all,Not at all likely,Somewhat extreme,SENDER,SENDER,All payoffs for the RECEIVER were equal.,SENDER,SENDER,The coin landed on TAILS.,Disagree,Disagree,Disagree,Very,Very,Very,Very,Slightly often,Slightly likely,The most extreme,I am ready to continue.,9.3,Female,3,36,Advisor GAME how to earn coins for sender and receiver.,1,1,90.7,90.76,0.999338916
63,75,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very,Very,Moderately,Moderately,Not very often,Slightly likely,Somewhat extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very,Very,Moderately,Moderately,Slightly often,Not very likely,Somewhat extreme,I am ready to continue.,50,Male,0,43,It was about the amount of trust on a person depending on his few choices.,1,1,25,65.76,0.380170316
64,9,Disagree,Somewhat disagree,Somewhat disagree,Moderately,Very,Moderately,Moderately,Not very often,Not very likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Agree,Agree,Slightly,Slightly,Not very,Not very,Slightly often,Somewhat likely,Slightly extreme,I am ready to continue.,9,Female,5+,33,perceptions of trust and judgement,1,2,0,0.24,0
65,5,Disagree,Disagree,Disagree,Moderately,Moderately,Moderately,Very,Not very often,Not very likely,Very extreme,Both SENDER and RECEIVER,SENDER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Agree,Agree,Agree,Not very,Not very,Not very,Not very,Not very often,Somewhat likely,Somewhat extreme,I am ready to continue.,9.24,Male,0,25,To judge if people would still follow directions from lies,1,2,4.24,4.24,1
66,5,Disagree,Disagree,Disagree,Slightly,Slightly,Slightly,Not very,Slightly often,Moderately likely,Not very extreme,Both SENDER and RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat,Somewhat,Slightly,Not very,Somewhat often,Somewhat likely,Slightly extreme,I am ready to continue.,8.75,Female,1,30,To try to guess the amount of coins in a jar and also receive advice from someone who knows the amount. But that person might lie to get more money themselves because they could get more if I'm closer or farther from the right answer but I don't know which is the incentive for them.,2,2,3.75,4.24,0.884433962
67,2.5,Agree,Agree,Agree,Not at all,Not at all,Not at all,Not at all,Moderately often,Extremely likely,Not at all extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Agree,Not at all,Not at all,Not at all,Not at all,Moderately often,Extremely likely,Not at all extreme,I am ready to continue.,3.15,Male,0,29,testing my perception of whether lies affect my choices.,2,2,0.65,6.74,0.096439169
68,5.47,Neither agree nor disagree,Disagree,Somewhat disagree,Very,Very,Moderately,Moderately,Not very often,Slightly likely,Moderately extreme,Both SENDER and RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Strongly agree,Agree,Agree,Not very,Not at all,Not very,Not very,Moderately often,Very likely,Slightly extreme,I am ready to continue.,5.47,Female,1,29,to see if you can trust someone based off first impressions ,1,2,0,3.77,0
69,200,Somewhat disagree,Disagree,Somewhat disagree,Moderately,Somewhat,Moderately,Moderately,Slightly often,Somewhat likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Disagree,Somewhat disagree,Somewhat disagree,Moderately,Somewhat,Moderately,Moderately,Slightly often,Slightly likely,Slightly extreme,I am ready to continue.,200,Male,2,34,Who was really honestly.,2,1,0,190.76,0
70,200,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Moderately,Moderately,Somewhat,Moderately,Slightly often,Not very likely,Very extreme,SENDER,SENDER,All payoffs for the RECEIVER were equal.,SENDER,SENDER,The coin landed on TAILS.,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very,Moderately,Moderately,Moderately,Slightly often,Slightly likely,Very extreme,I am ready to continue.,9.24,Male,2,29,To check how people react based on others perception,2,1,190.76,190.76,1
71,5,Somewhat agree,Disagree,Disagree,Very,Very,Very,Very,Slightly often,Slightly likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Agree,Not at all,Not at all,Not at all,Not at all,Very often,Very likely,Very extreme,I am ready to continue.,9.24,Female,1,34,To judge whether the participant trust the other participant who used to lie for his own well-being.,2,2,4.24,4.24,1
72,2,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Moderately,Moderately,Somewhat,Not very,Slightly often,Moderately likely,Somewhat extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly,Slightly,Not very,Not very,Moderately often,Very likely,Not very extreme,I am ready to continue.,5,Female,2,40,To decide how trustworthy someone was based on their previous behavior,2,2,3,7.24,0.414364641
73,150,Strongly disagree,Somewhat disagree,Disagree,Extremely,Very,Extremely,Very,Not very often,Slightly likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Agree,Neither agree nor disagree,Not very,Not very,Slightly,Not very,Moderately often,Extremely likely,Moderately extreme,I am ready to continue.,10,Female,2,30,"It was quite interesting, but I was not sure whether to trust the Advisor or not.",1,2,140,140.76,0.994600739
74,120,Disagree,Somewhat disagree,Disagree,Extremely,Extremely,Extremely,Very,Not often at all,Not at all likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Disagree,Somewhat disagree,Moderately,Very,Very,Moderately,Not often at all,Not at all likely,Very extreme,I am ready to continue.,9.5,Male,1,31,Decision making,1,1,110.5,110.76,0.997652582
75,2.5,Disagree,Disagree,Disagree,Moderately,Moderately,Moderately,Very,Not very often,Slightly likely,Somewhat extreme,Both SENDER and RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,Somewhat,Somewhat,Slightly often,Moderately likely,Slightly extreme,I am ready to continue.,2.78,Male,0,33,I don't know,1,2,0.28,6.74,0.041543027
76,200,Somewhat disagree,Disagree,Disagree,Very,Moderately,Moderately,Very,Somewhat often,Very likely,Moderately extreme,Both SENDER and RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat,Very,Moderately,Moderately,Slightly often,Slightly likely,Moderately extreme,I am ready to continue.,150,Male,2,25,nothing to saying thank you,1,1,50,190.76,0.262109457
77,1.5,Somewhat disagree,Somewhat disagree,Somewhat disagree,Moderately,Somewhat,Slightly,Somewhat,Not very often,Slightly likely,Slightly extreme,Both SENDER and RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Not very,Slightly often,Moderately likely,Not very extreme,I am ready to continue.,1.8,Female,0,49,To see if you would trust someone who you know deceived someone else in the past. ,2,2,0.3,7.74,0.03875969
78,7,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Very,Very,Not very often,Not very likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Very,Very,Not very often,Not very likely,The most extreme,I am ready to continue.,9.24,Female,3,42,"Maybe to study how easily people trust others, based on what they have heard about them.",1,1,2.24,2.24,1
79,4,Somewhat agree,Agree,Somewhat agree,Not very,Not very,Not very,Not very,Moderately often,Very likely,Somewhat extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Agree,Agree,Agree,Slightly,Not very,Slightly,Not very,Moderately often,Moderately likely,Somewhat extreme,I am ready to continue.,9.2,Male,2,31,To see how we trust others,2,2,5.2,5.24,0.992366412
80,1.8,Strongly disagree,Strongly disagree,Strongly disagree,Very,Very,Moderately,Very,Not often at all,Not very likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not at all extreme,I am ready to continue.,3.5,Male,0,41,"To guess how many pennies were in a jar with the help of an advisor who knows the correct answer, but may have incentive to lie",1,2,1.7,7.44,0.228494624
81,7,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Not at all,Extremely,Not often at all,Slightly likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not at all extreme,I am ready to continue.,8.25,Male,1,30,The purpose was to see if I would trust someone who values honesty and then lies to benefit themselves.,1,2,1.25,2.24,0.558035714
82,2,Somewhat disagree,Somewhat disagree,Somewhat disagree,Slightly,Slightly,Not very,Slightly,Moderately often,Extremely likely,Not very extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not at all extreme,I am ready to continue.,3,Female,0,30,To judge the person we are paired with and decide if we trust their judgment or not.,2,2,1,7.24,0.138121547
83,5,Disagree,Disagree,Disagree,Moderately,Moderately,Moderately,Moderately,Not very often,Slightly likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Agree,Agree,Slightly,Somewhat,Not very,Not very,Moderately often,Very likely,Not very extreme,I am ready to continue.,7.68,Female,1,49,To understand how we are affected when knowing the other person has lied for monetary gain,2,2,2.68,4.24,0.632075472
84,3,Neither agree nor disagree,Disagree,Disagree,Very,Very,Moderately,Very,Not very often,Not very likely,The most extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Not very,Moderately often,Somewhat likely,Not very extreme,I am ready to continue.,3,Male,0,62,To determine how much I listen to other's advice.,1,2,0,6.24,0
85,300,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,Slightly,Very,Somewhat often,Moderately likely,Somewhat extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Somewhat agree,Neither agree nor disagree,Moderately,Moderately,Slightly,Moderately,Somewhat often,Slightly likely,Moderately extreme,I am ready to continue.,10,Female,2,28,to know the or to guess the partner decision,2,1,290,290.76,0.99738616
86,150,Somewhat disagree,Disagree,Disagree,Very,Extremely,Very,Very,Not very often,Not very likely,Somewhat extreme,Both SENDER and RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Disagree,Somewhat disagree,Disagree,Extremely,Very,Very,Very,Not very often,Not very likely,Somewhat extreme,I am ready to continue.,150,Male,1,33,trust worthy,1,1,0,140.76,0
87,3,Disagree,Somewhat disagree,Strongly disagree,Extremely,Very,Very,Extremely,Not very often,Not very likely,The most extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat,Slightly,Somewhat,Somewhat,Slightly often,Somewhat likely,Somewhat extreme,I am ready to continue.,5,Male,1,37,This is to survey level of trust and honesty ,1,2,2,6.24,0.320512821
88,250,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Moderately,Very,Very,Moderately,Somewhat often,Slightly likely,Slightly extreme,SENDER,Both SENDER and RECEIVER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Agree,Somewhat agree,Somewhat,Somewhat,Slightly,Not very,Not very often,Not very likely,Slightly extreme,I am ready to continue.,9.24,Male,0,22,i don't know man,2,1,240.76,240.76,1
89,250,Neither agree nor disagree,Somewhat agree,Disagree,Moderately,Very,Very,Very,Not very often,Slightly likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Somewhat agree,Disagree,Extremely,Extremely,Extremely,Extremely,Not very often,Very likely,Slightly extreme,I am ready to continue.,10,Male,4,25,calculations,1,1,240,240.76,0.996843329
90,480,Somewhat agree,Strongly disagree,Strongly disagree,Extremely,Extremely,Extremely,Very,Very often,Extremely likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Very,Very,Not very often,Very likely,Very extreme,I am ready to continue.,2.5,Male,0,30,IT IS COLLECTS THE KNOWLEDGE AND GUESSES OF PEOPLES.,2,1,477.5,470.76,1.014317274
91,3,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,Slightly,Not very,Somewhat often,Somewhat likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Agree,Agree,Somewhat,Not very,Not at all,Not very,Somewhat often,Very likely,Not very extreme,I am ready to continue.,9,Male,1,43,I determine how much faith in others the respondents have given a scenario where the other has already been proven to lie ,2,2,6,6.24,0.961538462
92,500,Disagree,Disagree,Disagree,Very,Very,Very,Very,Not very often,Not very likely,Moderately extreme,Neither SENDER nor RECEIVER,Neither SENDER nor RECEIVER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Disagree,Disagree,Disagree,Very,Very,Very,Very,Not very often,Not very likely,Moderately extreme,I am ready to continue.,9.24,Male,2,33,To better know the mindset of people about guessing. ,1,1,490.76,490.76,1
93,1,Strongly disagree,Disagree,Somewhat disagree,Extremely,Very,Extremely,Extremely,Not very often,Moderately likely,Somewhat extreme,Both SENDER and RECEIVER,Neither SENDER nor RECEIVER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Disagree,Somewhat disagree,Strongly disagree,Extremely,Very,Extremely,Extremely,Not often at all,Not at all likely,Not at all extreme,I am ready to continue.,9.24,Female,4,39,I think it's a brain game.,1,1,8.24,8.24,1
94,3,Disagree,Strongly disagree,Disagree,Very,Extremely,Extremely,Extremely,Not very often,Not very likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not at all extreme,I am ready to continue.,4.5,Male,0,28,To study whether player A trust on player B through providing different kind of information about player B.,1,1,1.5,6.24,0.240384615
95,70,Disagree,Disagree,Disagree,Very,Very,Very,Very,Not very often,Not very likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Somewhat agree,Somewhat agree,Slightly,Somewhat,Somewhat,Slightly,Slightly often,Somewhat likely,Moderately extreme,I am ready to continue.,10,Male,2,31,The purpose of this game is to make other players guess the correct answer and earn money out of it.,1,1,60,60.76,0.987491771
96,200,Somewhat agree,Agree,Somewhat agree,Not very,Not very,Not very,Not very,Very often,Very likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not very extreme,I am ready to continue.,200,Male,2,29,This study is about decision making game with a partner.,2,1,0,190.76,0
97,4.5,Strongly disagree,Strongly agree,Strongly disagree,Moderately,Moderately,Very,Very,Slightly often,Moderately likely,Somewhat extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Disagree,Disagree,Disagree,Moderately,Moderately,Moderately,Moderately,Not very often,Not very likely,Somewhat extreme,I am ready to continue.,4.5,Male,0,37,It was to test a person's perception and trust of someone else telling you the truth.,2,2,0,4.74,0
98,14,Disagree,Disagree,Disagree,Moderately,Moderately,Moderately,Moderately,Not very often,Slightly likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat,Somewhat,Somewhat,Slightly,Slightly often,Very likely,Not at all extreme,I am ready to continue.,10,Male,0,31,i dont know  ,2,2,4,4.76,0.840336134
99,50,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Very,Very,Moderately,Moderately,Not very often,Slightly likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Not at all,Not very,Not very,Not very,Moderately often,Very likely,Somewhat extreme,I am ready to continue.,10,Male,3,32,The advise game about how we trust and opinion about the adviser and consider opinion from other people. ,2,1,40,40.76,0.981354269
100,3.75,Disagree,Disagree,Disagree,Moderately,Moderately,Very,Very,Not often at all,Not very likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Somewhat agree,Not very,Not very,Not very,Not at all,Moderately often,Very likely,Not at all extreme,I am ready to continue.,9.24,Male,2,25,To see if I trust the advisor or not and make a decision based on what I've learned about them.,1,2,5.49,5.49,1
101,500,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Very,Moderately,Extremely,Very,Slightly often,Somewhat likely,Moderately extreme,SENDER,Neither SENDER nor RECEIVER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Moderately,Very,Extremely,Very,Slightly often,Somewhat likely,Moderately extreme,I am ready to continue.,450,Male,1,30,In this study we play decision making game with a partner and learn about this participant's previous behavior in a different study.,1,1,50,490.76,0.101882794
102,2,Disagree,Disagree,Disagree,Moderately,Very,Moderately,Somewhat,Not very often,Slightly likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Disagree,Somewhat disagree,Disagree,Moderately,Moderately,Moderately,Moderately,Not very often,Not very likely,Moderately extreme,I am ready to continue.,2.12,Male,0,48,How ethical people are when motivations are different. ,2,2,0.12,7.24,0.016574586
103,50,Strongly disagree,Strongly disagree,Strongly disagree,Very,Very,Very,Very,Not often at all,Not very likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Very often,Very likely,Not very extreme,I am ready to continue.,10,Male,1,28,I believe it was to know about the change in an individual's perception of another person based on the information provided. And to see the reaction of the individual in making an important decision.,1,1,40,40.76,0.981354269
104,350,Disagree,Strongly disagree,Disagree,Extremely,Moderately,Very,Extremely,Not often at all,Not very likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Not very,Not very,Not at all,Not very,Slightly often,Moderately likely,Somewhat extreme,I am ready to continue.,50,Male,0,41,The purpose is to find out how much one changes his/her response based on advisor history.,1,1,300,340.76,0.880385022
105,2.37,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat,Slightly,Somewhat,Slightly,Not very often,Moderately likely,Somewhat extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Agree,Strongly agree,Not at all,Not at all,Not at all,Not very,Very often,Extremely likely,Not at all extreme,I am ready to continue.,8.24,Male,0,20,Seeing how much we can trust a stranger based on their previous actions. ,2,2,5.87,6.87,0.854439592
106,5,Strongly disagree,Disagree,Strongly disagree,Extremely,Very,Very,Very,Not often at all,Not very likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Very often,Extremely likely,Not at all extreme,I am ready to continue.,5,Female,2,65,To see if I trust that the Advisor is telling the truth or lying depending on his/her actions in a previous coin-toss game.,1,2,0,4.24,0
107,3.25,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Moderately,Moderately,Somewhat,Somewhat,Not very often,Not very likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Agree,Not very,Not very,Not very,Not very,Moderately often,Very likely,Not very extreme,I am ready to continue.,5,Female,1,23,"I'd guess the amount of coins in a jar. The advisor, who knows the true amount, tells me how much to guess, but had an incentive to either lie or tell the truth based on their instructions. I then get a chance to revise my answer based on their advice. ",1,2,1.75,5.99,0.292153589
108,20,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Not very,Not very,Slightly,Not very,Somewhat often,Moderately likely,Somewhat extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Not at all,Not very,Not very,Not very,Somewhat often,Very likely,Somewhat extreme,I am ready to continue.,15,Male,2,26,To understand how people deal with those who are ready to lie,2,1,5,10.76,0.464684015
109,100,Disagree,Disagree,Disagree,Extremely,Extremely,Extremely,Extremely,Not very often,Not very likely,Not at all extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Agree,Agree,Not at all,Not at all,Not at all,Not at all,Moderately often,Very likely,Not very extreme,I am ready to continue.,9.5,Male,1,27,How I am making decision on choosing advisor's answer when his answer is not even 100% true.,1,1,90.5,90.76,0.997135302
110,150,Somewhat disagree,Disagree,Disagree,Moderately,Moderately,Very,Very,Not very often,Extremely likely,Very extreme,Both SENDER and RECEIVER,RECEIVER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat disagree,Somewhat disagree,Somewhat disagree,Moderately,Moderately,Very,Very,Very often,Slightly likely,Slightly extreme,I am ready to continue.,10,Male,2,34,how to guess the economic condition in this situation ,1,1,140,140.76,0.994600739
111,3.18,Somewhat disagree,Somewhat disagree,Somewhat disagree,Slightly,Slightly,Not very,Not very,Moderately often,Very likely,Not very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat disagree,Somewhat disagree,Disagree,Somewhat,Somewhat,Slightly,Slightly,Somewhat often,Very likely,Slightly extreme,I am ready to continue.,2.94,Male,4,35,To see if we are willing to listen to another person's advice when there is a possibility they are lying to us. ,2,2,0.24,6.06,0.03960396
112,900,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Moderately,Somewhat,Moderately,Moderately,Somewhat often,Slightly likely,Somewhat extreme,RECEIVER,RECEIVER,All payoffs for the RECEIVER were equal.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Very,Moderately,Very,Moderately,Somewhat often,Slightly likely,Somewhat extreme,I am ready to continue.,900,Female,2,1990,IMPROVED FOR SKILLS,1,1,0,890.76,0
113,9.24,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Moderately,Moderately,Moderately,Moderately,Somewhat often,Moderately likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Moderately,Moderately,Moderately,Moderately,Somewhat often,Moderately likely,Somewhat extreme,I am ready to continue.,9.24,Male,3,34,economic survey,2,1,0,0,99
114,300,Disagree,Disagree,Disagree,Moderately,Very,Very,Very,Not often at all,Not very likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Disagree,Disagree,Disagree,Very,Very,Very,Very,Not often at all,Not very likely,The most extreme,I am ready to continue.,9.24,Prefer not to answer,1,31,PLAY THE DECISION MAKING GAME WITH A PARTNER,2,1,290.76,290.76,1
115,300,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Moderately,Moderately,Somewhat,Moderately,Somewhat often,Slightly likely,Somewhat extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat,Slightly,Somewhat,Somewhat,Somewhat often,Moderately likely,Somewhat extreme,I am ready to continue.,8,Female,2,30,Advice Game purpose is people own beliefs and judgments.,2,1,292,290.76,1.004264686
116,8,Strongly disagree,Strongly disagree,Strongly disagree,Very,Very,Very,Moderately,Moderately often,Moderately likely,Not very extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Strongly disagree,Strongly disagree,Strongly disagree,Very,Very,Very,Moderately,Moderately often,Moderately likely,Not very extreme,I am ready to continue.,9.24,Female,0,55,Whether they tell a lie or tell the truth,2,2,1.24,1.24,1
117,3,Neither agree nor disagree,Disagree,Neither agree nor disagree,Moderately,Moderately,Somewhat,Somewhat,Not very often,Slightly likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Very often,Extremely likely,Not at all extreme,I am ready to continue.,4,Female,1,34,To see if a person can rely on someone who had lie in a different game before.,1,2,1,6.24,0.16025641
118,5,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat,Moderately,Slightly,Somewhat,Slightly often,Somewhat likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Not very,Moderately often,Very likely,Not very extreme,I am ready to continue.,7,Female,2,32,I am unsure,2,2,2,4.24,0.471698113
119,200,Disagree,Disagree,Disagree,Somewhat,Somewhat,Somewhat,Not very,Somewhat often,Somewhat likely,Moderately extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Not at all,Moderately often,Moderately likely,Slightly extreme,I am ready to continue.,10,Female,0,32,How much we believe other people and  their decisions.,2,1,190,190.76,0.996015936
120,5.5,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Slightly,Slightly,Not very,Not very,Somewhat often,Moderately likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Not very,Very often,Extremely likely,The most extreme,I am ready to continue.,7.5,Male,3,26,Do we trust a person after being primed they are typically selfish and possibly dishonest,2,2,2,3.74,0.534759358
121,200,Strongly disagree,Disagree,Disagree,Extremely,Very,Very,Very,Not very often,Not very likely,The most extreme,Both SENDER and RECEIVER,Both SENDER and RECEIVER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Disagree,Disagree,Disagree,Moderately,Very,Moderately,Moderately,Slightly often,Slightly likely,Not at all extreme,I am ready to continue.,9.5,Male,3,49,How honesty and how behave with others if there is a chance of earn some money ,2,1,190.5,190.76,0.998637031
122,4.5,Strongly disagree,Disagree,Strongly disagree,Moderately,Moderately,Moderately,Moderately,Slightly often,Slightly likely,Somewhat extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Somewhat agree,Agree,Slightly,Slightly,Slightly,Slightly,Somewhat often,Moderately likely,Slightly extreme,I am ready to continue.,6.75,Male,0,33,Not really sure,1,2,2.25,4.74,0.474683544
123,7,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Moderately,Moderately,Somewhat,Somewhat,Not very often,Slightly likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Slightly,Slightly,Not very,Not very,Somewhat often,Somewhat likely,Not very extreme,I am ready to continue.,7,Female,0,46,To see if how people consider previous behavior when evaluating the honesty of someone.,2,2,0,2.24,0
124,5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Moderately,Moderately,Moderately,Moderately,Not very often,Not very likely,Slightly extreme,SENDER,RECEIVER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Not very,Not very often,Slightly likely,Not very extreme,I am ready to continue.,9.24,Male,0,28,To try and guess the amount of coins in the jar while considering to take the advice of another participant based on their previous study results. ,1,2,4.24,4.24,1
