id,Guess_1,hypocrite,inauthentic,disingenuous,moral,ethical,trust,comm_h,lie_freq,future_lie,extreme_lie,Q602,Q603,Q600,Q489,Q490,Q615,hypo_2,inauth_2,disingen_2,moral_2,ethical_2,trust_2,comm_h2,lie_freq2,future_lie2,extreme_lie2,Q811,final_guess,gender,econ,age,purpose,condition,Country,Advice_num,Advice_denom,advice
14,5,Strongly disagree,Strongly disagree,Strongly disagree,Very,Very,Very,Very,Not often at all,Not very likely,Very extreme,Both SENDER and RECEIVER,Both SENDER and RECEIVER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat,Slightly,Slightly,Somewhat,Slightly often,Slightly likely,Not very extreme,I am ready to continue.,9.24,Male,0,38,The advice game was about establishing and studying trust in a partner who is providing advice.,1,2,4.24,4.24,1
15,5.5,Strongly disagree,Strongly disagree,Strongly disagree,Moderately,Moderately,Extremely,Extremely,Not often at all,Not at all likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not at all extreme,I am ready to continue.,6.67,Male,2,31,To see how knowing someone lies over a quarter influenced your perspective of them.,1,2,1.17,3.74,0.312834225
16,5,Disagree,Somewhat disagree,Somewhat disagree,Moderately,Moderately,Somewhat,Somewhat,Slightly often,Moderately likely,Moderately extreme,Both SENDER and RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat disagree,Somewhat disagree,Somewhat disagree,Moderately,Moderately,Somewhat,Slightly,Slightly often,Somewhat likely,Somewhat extreme,I am ready to continue.,9,Male,1,42,"To see if and how much people will trust a hypothetical ""partner' to be honest.  ",2,2,4,4.24,0.943396226
17,1.5,Disagree,Disagree,Disagree,Very,Very,Very,Very,Not very often,Not very likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Very often,Extremely likely,Not at all extreme,I am ready to continue.,5,Male,1,26,to know how people change decision based on a person's personality,1,2,3.5,7.74,0.452196382
18,5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Moderately,Moderately,Somewhat,Not at all,Slightly often,Very likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not at all extreme,I am ready to continue.,8.5,Male,3,44,"To see how well we trust someone that has lied in the past when working with them,",2,2,3.5,4.24,0.825471698
19,2,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Somewhat,Slightly,Slightly often,Slightly likely,Slightly extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not at all,Not very,Slightly often,Slightly likely,Slightly extreme,I am ready to continue.,2,Female,0,25,"The purpose was to guess the amount of money in the jar, and I could change my answer based on the advisor's recommendation. ",2,2,0,7.24,0
20,60,Disagree,Disagree,Disagree,Very,Very,Very,Very,Slightly often,Slightly likely,Somewhat extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat often,Somewhat likely,Slightly extreme,I am ready to continue.,9,Male,4,33,thoughts on someone's ability to lie,2,2,51,50.76,1.004728132
21,2,Disagree,Disagree,Disagree,Extremely,Extremely,Very,Very,Not very often,Not very likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not at all,Not at all,Moderately often,Extremely likely,Not at all extreme,I am ready to continue.,2.5,Male,1,41,To see if I would follow the advice of a liar?,1,2,0.5,7.24,0.069060773
22,2.25,Disagree,Disagree,Disagree,Very,Very,Very,Very,Not very often,Slightly likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Somewhat agree,Somewhat agree,Moderately,Moderately,Very,Somewhat,Somewhat often,Moderately likely,Not very extreme,I am ready to continue.,4.5,Male,1,40,To see whether I would trust the other participant,1,2,2.25,6.99,0.321888412
23,5,Disagree,Somewhat disagree,Disagree,Somewhat,Moderately,Moderately,Somewhat,Not very often,Not very likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Somewhat agree,Agree,Slightly,Not very,Not very,Not very,Somewhat often,Moderately likely,Not very extreme,I am ready to continue.,7,Male,1,31,The purpose of the Advice Game was whether or not I could trust the person that played the role of the adviser even though he had a history of lying.,1,2,2,4.24,0.471698113
