PID,condition,vote_likely,hypocrisy_1,hypocrisy_2,hypocrisy_3,hypocrisy_4,hypocrisy_5,moral_1,moral_2,moral_3,att_chck1,att_chck2,similar_politician,sex,age,political_affil,purpose
86,1,1,7,7,7,7,7,1,2,1,1,1,A number come to mind but Richard Nixon is probably at the top of the list as far as being hypocritical.,1,55,2,"I would take a wild guess and say that there are at least two versions of the study where the politician makes slightly different statements, and the responses will be compared. "
87,1,2,7,7,6,6,7,2,2,2,1,1,No it did not,1,26,2,How people view a candidate
88,2,1,7,7,7,7,7,1,1,1,2,1,"Of course, this description reminds me of many other corrupt politicians, but I can't name them here and now.",1,67,1,Corruption and lies as political factors.
89,1,4,4,6,5,4,4,4,6,5,1,1,Yes. Donald Trump the former president,2,29,2,Language of the politicians
90,2,4,7,6,5,6,6,4,3,3,2,1,None that I can think of,1,26,3,I think it was to see how preferences can be biased towards or against politicians based on their policies and actions.
91,2,3,7,6,6,6,7,3,3,2,2,1,Bernie Sanders,2,30,2,To see how politicians getting caught in a lie can affect people voting for them.
92,1,4,6,6,6,6,6,3,3,3,1,1,No,2,24,2,I don't know
93,1,5,7,6,7,5,5,5,4,4,1,1,Donald Trump,1,27,2,Behavior on a  political candidate
94,2,1,7,7,7,7,7,1,1,1,2,1,"No one in particular, but politicians as a whole, yes.",1,35,2,I think it was about perceptions of a political candidate. 
95,2,5,4,5,5,5,6,5,4,4,2,1,All of them,1,38,1,To see how we viewed a dishonest politician
96,1,2,6,6,6,7,7,2,3,2,1,1,No one I can think of but I think all politicians (and 99.9% of the population) lie.,1,46,3,Evaluating how dishonesty impacts voting propensity?
97,1,2,6,6,6,6,6,2,4,1,1,1,No I didn't think of anyone.,1,34,2,How average people feel about politicians lying.
98,1,2,6,6,6,6,6,2,3,2,1,1,Most every politician lies. How much they lie or promise is a joke but many get re-elected anyway because they represent a certain political party.,1,58,3,Opinion of honesty in political candidates.
99,2,6,6,4,7,5,7,6,7,6,2,1,I  think  this person have general quota.,2,51,2,I think this  survey analyzing the some political  issues.
100,2,4,6,6,6,6,6,2,2,2,2,1,No,1,38,3,To research values held by people?
101,1,1,7,7,7,7,7,1,1,1,1,1,No,1,24,1,It was about perceptions.
102,2,1,6,6,6,6,6,1,1,1,2,1,biden,1,29,1,understand reading skills
103,2,6,1,6,3,2,2,6,5,5,2,1,Dan Crenshaw,2,21,1,see how people feel about politicians
104,2,2,6,6,6,6,6,2,2,2,2,1,No,2,48,1,I don't know.
105,2,3,7,7,6,5,7,2,2,2,2,1,Not really,1,32,3,Not sure.
106,1,3,6,7,5,6,7,4,4,3,1,1,Ted Cruz,2,27,2,How we feel about politicians who lie. 
107,2,2,6,4,6,6,6,2,2,2,2,1,Not offhand,2,52,2,I'm not sure.
108,2,2,5,6,4,4,5,5,5,4,2,1,PELOSI,2,62,1,political ideas
109,1,3,6,7,5,5,7,2,4,2,1,1,not really; I feel a lot of them lie but a lot of them are also truthful.  His stances seem liberal but his lying about donations seems conservative.,2,41,2,perceptions pf a political candidate
110,2,2,7,6,7,7,7,2,2,2,2,1,Not any specific politician that I can think of,1,40,2,To test the level of dishonesty a voter can tolerate.
111,1,3,3,6,4,5,5,4,4,2,1,1,No.,2,36,1,Perceptions of political figures. 
112,2,2,6,6,6,5,6,3,2,3,2,1,Joe Biden,1,52,1,"I'm not sure, but could focus on our feelings about dishonesty, even if among our own political affiliations."
113,1,2,6,7,7,5,7,2,2,1,1,1,All of them,1,43,3,not sure
114,1,3,6,7,6,5,7,2,3,1,1,1,Trump,2,40,2,How people judge candidates from their own party
115,2,3,7,7,6,7,7,3,3,2,2,1,no,2,42,2,politician's hypocrisy affecting your vote
116,2,4,4,4,5,5,4,3,3,3,2,1,It brought most politicians to mind. Most are ethically flexible.,1,43,3,To determine whether people consider half truths to be lies.
117,2,2,7,7,7,6,7,2,1,2,2,1,Not that I can think of.,2,28,2,I honestly have no idea.
118,1,2,7,7,7,7,7,1,2,1,1,1,"Yes, he reminds me of most of the politicians. No one wants to admit they need super PAC money to win an election, even Donald Trump. Most politicians say what they need to say to win the election.",2,49,1,How people justify politicians lying.
119,2,2,7,4,7,7,7,2,2,1,2,1,"Honestly, it brought to mind most politicians. From the cliche sound bytes about education to openly lying about his campaign financing. It is really sad that this is the state of politics. Those elected are supposed to be looking out for the greater good but it seems most are just worried about, and certainly this politician is worried about, telling people what they want to hear with little plan in terms of accomplishing the overarching goals they establish and lying to get ahead.",1,32,3,To see how people feel about a politician who lies.
120,2,2,5,6,6,5,6,2,3,2,2,1,Not really.,1,45,2,Is to understand that people's talk about ethics is not as it seems to be.
121,2,2,5,6,5,4,6,2,2,2,2,1,no,1,26,2,opinion of politicians
122,1,2,5,5,5,4,5,2,2,2,1,1,No,1,34,1,One's opinion based on politician's interview responses. 
123,1,2,7,7,7,7,7,2,2,2,1,1,yes Joe Biden,2,52,1,to see how we feel about candidates accepting money from PACs?
124,1,2,6,7,7,7,6,2,1,1,1,1,He brought all politicians to mind. They all lie to get what they want and I've never seen one who was honest.,1,43,1,To find out if we would vote for a candidate who lies.
125,1,1,6,6,6,6,6,1,1,1,1,1,all of them,1,35,3,politics
126,2,2,5,5,5,5,6,2,2,2,2,1,none,1,40,3,Political ideals under conflicting information.
127,2,3,5,3,3,5,5,3,3,3,2,1,Not right away,2,27,1,Do see how you react to one little lie in politics.
128,1,2,6,7,6,7,7,2,2,1,1,1,No.,2,22,1,I think the purpose of this study was to see my judgements and beliefs.
129,2,1,7,7,7,7,7,1,1,1,2,1,Trump,2,31,2,To gauge how much voting is swayed when new/conflicting information comes to light.
130,2,2,5,5,5,4,5,2,2,2,2,1,"No, none came to mind.",2,64,1,to see how one views political lies.
