ID,attitude,behave,public,gender,age
87,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Male,28
88,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Prefer not to answer,28
89,Lying is never okay.,I never lie.,Lying is never okay.,Male,69
90,Lying is rarely okay.,I sometimes lie.,Lying is never okay.,Female,29
91,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,22
92,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Male,32
93,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,25
94,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,21
95,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,33
96,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,50
97,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,23
98,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,47
99,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,30
100,Lying is sometimes okay.,I rarely lie.,Lying is never okay.,Female,21
101,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,38
102,Lying is never okay.,I rarely lie.,Lying is never okay.,Female,44
103,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Male,20
104,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,21
105,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,24
106,Lying is rarely okay.,I never lie.,Lying is never okay.,Female,43
107,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Female,20
108,Lying is sometimes okay.,I sometimes lie.,Lying is never okay.,Female,22
109,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,44
110,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,32
111,Lying is sometimes okay.,I sometimes lie.,Lying is never okay.,Female,38
112,Lying is sometimes okay.,I sometimes lie.,Lying is never okay.,Female,47
113,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Male,22
114,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,22
115,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,21
116,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,19
117,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,19
118,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Female,23
119,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,19
120,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,19
121,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Female,21
122,Lying is never okay.,I rarely lie.,Lying is never okay.,Female,27
123,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,21
124,Lying is rarely okay.,I sometimes lie.,Lying is never okay.,Female,25
125,Lying is never okay.,I rarely lie.,Lying is rarely okay.,Male,26
126,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,20
127,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,24
128,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Male,39
129,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,36
130,Lying is rarely okay.,I rarely lie.,Lying is sometimes okay.,Female,21
131,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Female,23
132,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Male,62
133,Lying is never okay.,I rarely lie.,Lying is rarely okay.,Male,32
134,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,19
135,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,22
136,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,22
137,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,27
138,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,20
139,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Male,40
140,Lying is never okay.,I rarely lie.,Lying is never okay.,Male,25
141,Lying is sometimes okay.,I rarely lie.,Lying is never okay.,Female,22
142,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,21
143,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Male,24
144,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,19
145,Lying is rarely okay.,I never lie.,Lying is never okay.,Female,21
146,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,22
147,Lying is never okay.,I never lie.,Lying is never okay.,Female,28
148,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,21
149,Lying is often okay.,I sometimes lie.,Lying is sometimes okay.,Female,18
150,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,34
151,Lying is never okay.,I never lie.,Lying is never okay.,Male,25
152,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Male,21
153,Lying is rarely okay.,I sometimes lie.,Lying is never okay.,Male,23
154,Lying is never okay.,I rarely lie.,Lying is never okay.,Male,23
