ID,Gender,Economics_exp,Age,condition,proclamation,lie,discounting_1,goal_1,discounting_2,goal_2,hypocrisy_1,hypocrisy_2,hypocrisy_3,hypocrisy_4,moral_1,moral_2,moral_3,counts
323,Male,1,31,4,flexible,one,2,2,3,3,5,5,5,5,3,3,3,7
324,Male,1,23,2,absolute,one,2,2,4,4,6,4,6,6,2,2,2,4
325,Female,1,24,4,flexible,one,3,3,3,4,1,1,4,4,3,4,2,6
326,Female,0,20,1,absolute,repeat,3,2,4,4,7,7,6,6,3,3,2,2
327,Male,5+,34,3,flexible,repeat,3,2,3,4,3,3,5,5,3,3,3,6
328,Female,1,31,3,flexible,repeat,2,3,4,4,3,4,5,5,2,2,2,3
329,Female,0,27,1,absolute,repeat,2,1,3,3,6,6,6,6,2,2,2,6
330,Male,2,32,3,flexible,repeat,2,3,3,3,2,5,3,3,4,4,5,5
331,Female,0,34,2,absolute,one,2,2,3,2,6,6,6,6,3,3,3,6
332,Female,1,34,2,absolute,one,3,2,3,3,5,5,5,5,4,4,4,1
333,Male,0,35,4,flexible,one,3,3,3,3,2,2,2,2,5,4,4,6
334,Male,0,44,4,flexible,one,3,3,3,3,2,3,2,3,5,5,4,6
335,Male,0,48,2,absolute,one,2,2,3,3,6,6,6,6,2,2,2,6
336,Female,1,33,1,absolute,repeat,2,2,3,4,7,6,6,6,3,4,3,6
337,Male,2,29,4,flexible,one,3,3,3,3,4,3,5,5,3,2,2,5
338,Female,1,42,3,flexible,repeat,3,3,3,4,2,2,5,5,2,2,2,2
339,Female,0,25,2,absolute,one,3,3,3,3,6,7,5,5,2,3,2,6
340,Female,1,48,4,flexible,one,3,3,4,4,2,1,2,2,3,3,4,6
341,Female,2,33,2,absolute,one,2,1,2,1,2,2,2,2,6,6,6,1
342,Male,2,31,4,flexible,one,3,3,3,3,3,4,6,5,3,4,2,5
343,Male,5+,21,1,absolute,repeat,1,1,4,4,5,6,5,2,4,2,2,6
344,Male,2,32,2,absolute,one,3,3,4,4,7,6,7,7,2,3,2,2
345,Female,0,24,3,flexible,repeat,3,2,3,2,2,3,2,2,6,5,5,2
346,Male,0,26,3,flexible,repeat,2,3,3,3,2,2,5,5,3,3,3,6
347,Female,0,27,4,flexible,one,4,4,4,4,5,6,6,6,2,3,2,5
348,Male,1,43,3,flexible,repeat,3,4,4,4,4,2,6,6,2,2,2,1
349,Male,2,30,1,absolute,repeat,3,2,5,5,7,7,7,7,1,1,1,7
350,Male,1,68,1,absolute,repeat,2,2,4,4,2,3,6,2,2,3,2,6
351,Female,0,45,4,flexible,one,4,4,5,5,6,6,6,6,1,1,1,6
352,Male,3,35,4,flexible,one,3,3,3,3,4,2,5,4,5,5,5,6
353,Male,0,26,4,flexible,one,3,3,3,3,2,5,5,5,4,4,4,7
354,Female,0,34,1,absolute,repeat,3,3,4,4,7,6,7,6,3,3,2,7
355,Male,2,31,1,absolute,repeat,3,1,3,1,4,4,4,4,4,4,4,6
356,Male,1,28,1,absolute,repeat,3,1,3,3,4,4,4,4,3,3,3,4
357,Female,2,41,1,absolute,repeat,2,2,4,3,6,7,7,7,2,2,1,4
358,Female,0,64,4,flexible,one,2,3,4,4,4,2,5,5,2,2,2,7
359,Female,2,25,4,flexible,one,2,2,3,3,3,4,3,3,3,4,3,5
360,Female,0,65,4,flexible,one,3,3,3,3,4,3,5,4,3,3,2,6
361,Female,2,49,4,flexible,one,2,3,2,3,5,5,5,4,3,4,2,6
362,Female,0,39,4,flexible,one,3,3,3,3,4,4,4,4,5,6,5,7
363,Male,3,35,3,flexible,repeat,3,3,4,4,3,3,5,5,3,3,2,4
364,Male,4,25,2,absolute,one,3,1,3,2,4,5,5,4,5,5,5,5
365,Female,3,52,1,absolute,repeat,2,1,4,3,7,7,7,7,3,3,3,2
366,Male,3,20,1,absolute,repeat,3,2,3,3,6,6,6,6,5,5,5,6
367,Female,1,32,4,flexible,one,3,3,4,4,4,4,7,5,2,2,1,6
368,Male,3,37,3,flexible,repeat,2,3,3,3,4,5,4,5,2,3,3,5
369,Female,1,23,1,absolute,repeat,2,1,4,4,7,5,6,5,1,2,1,4
370,Male,1,30,3,flexible,repeat,2,3,2,3,4,4,4,4,2,2,2,6
371,Female,0,55,3,flexible,repeat,3,3,3,3,3,3,3,3,5,5,5,5
372,Male,1,36,1,absolute,repeat,3,2,3,3,7,7,7,7,3,3,3,5
373,Male,2,29,2,absolute,one,2,2,3,3,6,5,5,5,4,3,4,6
374,Female,2,25,4,flexible,one,2,3,3,3,2,3,4,3,5,5,5,6
375,Male,2,44,1,absolute,repeat,3,2,3,3,7,7,5,5,2,2,2,6
376,Male,1,22,3,flexible,repeat,4,3,4,4,4,3,7,5,4,4,4,6
377,Male,2,32,4,flexible,one,3,3,3,3,3,3,3,3,3,3,3,6
378,Female,0,43,3,flexible,repeat,3,3,3,3,4,4,4,4,2,3,1,6
379,Female,3,39,1,absolute,repeat,1,1,3,3,6,6,6,6,2,2,2,6
380,Female,1,26,2,absolute,one,2,2,2,2,2,2,2,2,6,6,6,4
381,Male,2,29,2,absolute,one,3,3,3,3,4,5,5,4,3,3,2,3
382,Female,0,69,2,absolute,one,2,1,2,2,5,5,4,4,4,4,3,5
383,Male,0,33,4,flexible,one,3,3,3,3,2,6,5,5,4,4,2,7
384,Male,1,31,2,absolute,one,2,2,2,2,2,2,2,2,4,5,5,5
385,Male,1,27,2,absolute,one,1,1,4,4,5,6,5,5,2,2,2,6
386,Male,2,43,3,flexible,repeat,4,4,4,4,4,5,4,6,3,3,2,3
387,Female,0,23,3,flexible,repeat,3,3,4,4,2,3,5,5,1,2,3,3
388,Male,0,48,1,absolute,repeat,2,2,2,2,2,2,2,2,6,6,6,2
389,Male,1,19,1,absolute,repeat,2,1,3,2,7,7,3,2,5,5,3,7
390,Male,0,42,1,absolute,repeat,3,2,3,3,5,5,5,5,4,4,4,6
391,Female,0,41,2,absolute,one,2,1,2,1,5,6,4,4,3,2,4,2
392,Female,0,44,1,absolute,repeat,1,1,4,3,5,5,5,5,2,2,2,2
393,Female,0,49,2,absolute,one,2,1,3,3,7,7,6,5,2,3,2,6
394,Male,1,26,4,flexible,one,3,3,3,3,5,4,6,5,3,3,3,6
395,Female,1,32,2,absolute,one,2,1,3,1,7,6,6,1,1,1,1,4
396,Male,1,65,3,flexible,repeat,3,3,3,3,4,4,5,5,4,4,4,3
397,Male,0,42,1,absolute,repeat,2,1,4,4,6,2,7,7,1,1,1,6
398,Male,2,50,3,flexible,repeat,3,3,3,3,4,2,6,4,2,2,2,6
399,Female,0,39,2,absolute,one,3,1,3,3,5,5,5,4,4,5,5,3
400,Male,2,22,4,flexible,one,3,2,3,3,2,2,5,5,4,4,3,6
401,Female,2,31,4,flexible,one,2,2,3,4,4,3,4,6,2,2,2,6
402,Male,0,25,4,flexible,one,4,4,4,4,5,4,6,6,2,2,2,6
403,Male,5+,38,3,flexible,repeat,3,3,4,4,6,6,6,6,2,2,2,6
404,Female,0,25,4,flexible,one,3,3,3,3,2,2,2,2,5,5,5,6
405,Male,1,32,4,flexible,one,3,3,4,3,2,2,2,2,2,2,1,6
406,Female,2,19,4,flexible,one,3,3,4,4,5,6,6,5,2,2,3,2
407,Female,2,22,2,absolute,one,3,1,3,2,7,7,6,5,2,3,2,3
408,Female,0,41,2,absolute,one,2,1,2,1,2,6,2,2,6,5,5,5
409,Male,1,35,3,flexible,repeat,3,3,4,4,3,4,7,7,2,2,2,1
410,Male,4,38,1,absolute,repeat,2,1,3,1,7,4,4,7,1,1,1,4
411,Male,3,28,1,absolute,repeat,2,2,3,3,6,5,6,6,2,2,3,5
412,Female,0,19,1,absolute,repeat,3,2,3,3,7,7,7,6,2,2,3,4
413,Male,0,42,1,absolute,repeat,2,2,4,3,4,6,5,6,3,3,2,3
414,Male,5+,76,2,absolute,one,2,1,4,5,7,7,6,6,1,1,1,5
415,Male,2,57,4,flexible,one,3,3,3,3,3,3,5,5,2,3,2,4
416,Male,0,31,4,flexible,one,3,3,3,3,2,2,6,6,2,2,2,7
417,Male,3,30,3,flexible,repeat,3,3,4,4,4,3,5,4,2,2,2,4
418,Female,0,26,3,flexible,repeat,3,3,3,3,2,6,2,2,4,4,4,5
419,Female,2,33,4,flexible,one,3,3,3,3,2,3,5,2,2,4,4,3
420,Male,4,35,4,flexible,one,3,3,3,3,2,2,2,2,3,3,3,7
421,Male,5+,66,2,absolute,one,3,1,4,3,7,7,7,7,1,1,1,6
422,Female,1,33,1,absolute,repeat,2,2,3,3,6,6,6,6,2,2,2,6
423,Male,1,31,2,absolute,one,2,1,3,3,7,7,6,7,3,3,2,5
424,Female,1,31,1,absolute,repeat,2,3,4,3,5,5,5,5,3,3,2,2
425,Female,3,27,1,absolute,repeat,2,1,4,4,7,7,6,6,2,2,2,6
426,Male,0,41,2,absolute,one,1,1,3,4,6,7,5,5,2,2,2,6
427,Female,0,30,3,flexible,repeat,3,3,3,3,2,2,2,2,4,4,4,6
428,Male,3,48,2,absolute,one,2,2,2,2,1,1,1,2,5,6,6,6
429,Female,0,30,2,absolute,one,2,1,4,3,7,7,6,6,2,2,1,6
430,Female,0,53,1,absolute,repeat,2,2,4,4,7,7,6,6,1,1,1,2
431,Female,1,27,4,flexible,one,4,3,4,3,2,3,3,3,5,3,3,7
432,Female,0,30,2,absolute,one,3,2,2,2,4,4,4,4,4,4,4,3
433,Male,0,52,4,flexible,one,3,3,3,3,3,3,3,5,2,3,4,6
434,Female,1,40,4,flexible,one,3,3,4,4,4,4,4,5,2,2,2,5
435,Female,2,32,1,absolute,repeat,3,3,3,3,5,6,5,5,3,5,2,3
436,Female,0,28,1,absolute,repeat,3,2,4,3,7,7,7,7,2,2,2,6
437,Female,0,22,2,absolute,one,3,3,3,3,5,5,5,5,3,3,3,4
438,Male,1,34,1,absolute,repeat,2,1,4,4,6,6,6,6,2,2,2,4
439,Female,4,49,3,flexible,repeat,3,3,4,4,4,3,6,4,2,2,2,2
440,Female,1,25,4,flexible,one,4,4,5,5,4,3,5,6,1,2,1,7
441,Female,1,36,2,absolute,one,3,3,3,3,5,5,5,4,3,4,4,6
442,Male,0,24,2,absolute,one,3,1,3,3,6,6,5,5,3,3,3,6
443,Male,4,23,4,flexible,one,3,3,3,3,3,3,3,5,2,2,1,7
444,Male,2,70,3,flexible,repeat,4,5,4,4,5,4,7,6,2,1,1,2
445,Female,0,37,4,flexible,one,3,3,4,4,2,4,5,4,2,3,2,4
446,Male,0,34,2,absolute,one,1,1,4,3,7,7,6,6,2,2,2,3
447,Male,0,53,3,flexible,repeat,3,3,3,3,3,3,5,5,3,3,3,3
448,Male,3,28,3,flexible,repeat,3,3,4,3,6,6,6,6,2,2,2,7
449,Female,1,43,1,absolute,repeat,3,3,3,3,3,3,3,3,5,5,5,3
450,Male,2,41,3,flexible,repeat,4,4,4,4,6,6,7,6,1,1,2,6
451,Female,2,23,3,flexible,repeat,3,3,4,4,2,1,2,2,1,2,2,6
452,Male,1,30,3,flexible,repeat,3,3,4,5,6,6,7,7,2,2,1,5
453,Male,1,20,1,absolute,repeat,2,1,4,4,7,7,7,7,2,2,1,6
454,Female,1,28,1,absolute,repeat,3,2,4,4,7,7,4,6,5,5,2,2
455,Female,0,52,4,flexible,one,3,2,3,2,5,6,5,6,5,5,3,7
456,Female,3,47,2,absolute,one,3,3,4,4,6,7,5,6,2,2,1,6
457,Female,0,48,3,flexible,repeat,3,3,4,4,2,2,2,2,2,2,2,1
458,Female,0,40,2,absolute,one,2,1,3,3,5,6,5,5,4,4,4,7
459,Female,0,39,4,flexible,one,2,2,4,4,4,4,4,4,2,3,2,7
460,Male,0,37,4,flexible,one,3,3,3,3,4,3,4,4,5,5,5,5
461,Male,0,33,2,absolute,one,2,1,3,3,6,6,6,6,2,2,2,6
462,Female,0,28,1,absolute,repeat,3,3,3,3,6,4,4,6,5,5,3,4
463,Female,2,30,4,flexible,one,3,3,3,3,5,3,5,4,2,3,2,6
464,Male,0,35,4,flexible,one,2,3,2,3,1,1,1,1,5,5,5,7
465,Male,0,31,1,absolute,repeat,2,2,3,3,5,7,6,6,2,2,2,7
466,Male,1,23,2,absolute,one,3,3,5,5,6,7,5,5,3,2,2,4
467,Male,2,21,3,flexible,repeat,3,3,3,3,3,5,3,4,3,2,3,6
468,Female,3,58,1,absolute,repeat,2,1,4,5,6,6,6,7,2,2,2,6
469,Male,0,29,3,flexible,repeat,3,3,3,3,4,4,5,5,4,4,2,3
470,Male,1,32,2,absolute,one,2,1,3,3,5,6,5,6,3,3,3,6
471,Prefer not to answer,1,31,3,flexible,repeat,3,3,3,3,5,4,4,5,1,3,1,5
472,Male,2,30,1,absolute,repeat,2,2,4,4,7,7,6,7,2,2,2,3
473,Male,1,29,1,absolute,repeat,3,2,4,4,6,7,6,6,2,2,2,6
474,Male,1,33,2,absolute,one,3,2,3,3,6,6,6,6,2,2,2,2
475,Male,0,48,4,flexible,one,3,3,3,3,2,2,2,2,4,3,3,6
476,Female,2,50,2,absolute,one,1,1,3,3,4,6,4,4,2,2,2,4
477,Female,1,25,4,flexible,one,3,3,3,3,2,1,4,2,3,4,2,6
478,Male,0,29,4,flexible,one,4,3,4,4,2,2,6,6,1,1,1,6
479,Male,0,28,1,absolute,repeat,2,2,2,2,3,3,3,3,5,5,5,5
480,Male,1,31,2,absolute,one,3,3,4,4,7,7,7,7,1,1,1,6
481,Female,1,33,2,absolute,one,1,1,3,1,4,7,4,4,3,3,3,5
482,Female,0,73,2,absolute,one,2,1,4,4,7,4,7,7,2,2,1,6
483,Female,2,64,2,absolute,one,2,1,3,4,5,6,6,6,2,2,2,2
484,Female,0,25,1,absolute,repeat,1,1,4,3,7,7,7,7,2,2,2,4
485,Male,0,25,4,flexible,one,4,4,4,5,4,4,5,4,3,2,2,7
486,Female,3,67,4,flexible,one,3,3,3,3,2,2,5,2,4,4,4,2
487,Female,1,66,2,absolute,one,2,1,2,1,4,5,4,4,4,4,4,5
488,Female,1,28,2,absolute,one,3,2,3,2,6,5,4,4,2,2,2,6
489,Female,0,39,4,flexible,one,3,4,4,4,4,4,5,3,4,2,2,6
490,Male,0,61,3,flexible,repeat,4,3,4,4,5,4,7,7,2,2,1,6
491,Male,0,43,3,flexible,repeat,3,4,4,4,4,1,7,7,2,4,3,4
492,Female,1,52,3,flexible,repeat,3,3,3,3,4,3,4,3,3,3,2,4
493,Female,1,30,2,absolute,one,2,2,3,3,5,7,5,5,3,3,4,5
494,Male,2,79,2,absolute,one,3,1,3,3,6,6,5,5,2,3,3,6
495,Female,0,27,4,flexible,one,3,3,3,3,4,4,5,5,3,4,3,6
496,Female,1,36,1,absolute,repeat,2,1,4,5,7,7,7,7,1,1,1,2
497,Female,0,33,1,absolute,repeat,2,1,4,4,7,6,4,5,4,4,3,7
498,Male,2,18,2,absolute,one,3,2,2,2,4,4,5,4,5,4,4,2
499,Female,2,38,2,absolute,one,2,1,3,3,4,7,5,5,3,3,3,5
500,Male,0,41,3,flexible,repeat,3,3,3,3,2,2,2,3,4,4,5,6
501,Male,1,37,1,absolute,repeat,1,1,1,1,1,1,1,1,6,6,6,1
502,Male,0,31,4,flexible,one,3,3,4,5,3,3,6,6,1,2,1,6
503,Female,1,34,3,flexible,repeat,3,3,3,3,4,4,4,4,4,4,2,7
504,Male,1,29,1,absolute,repeat,3,3,3,3,6,7,6,6,2,2,2,6
505,Male,1,60,2,absolute,one,2,1,2,3,6,6,5,5,2,3,1,6
506,Female,0,43,3,flexible,repeat,3,3,4,4,2,2,3,2,2,3,2,6
507,Female,5+,62,3,flexible,repeat,3,3,4,5,7,7,7,7,1,1,1,7
508,Female,2,28,1,absolute,repeat,2,1,3,3,6,6,4,6,3,3,3,6
509,Male,2,29,2,absolute,one,2,2,3,3,5,6,5,5,3,3,3,6
510,Male,1,38,2,absolute,one,2,1,3,1,6,6,4,6,2,2,2,2
511,Male,1,56,4,flexible,one,3,3,3,3,4,2,6,7,1,1,1,6
512,Female,1,42,3,flexible,repeat,3,3,4,4,3,4,6,6,2,3,2,5
513,Female,1,39,2,absolute,one,1,1,3,3,6,7,5,5,3,2,2,7
514,Male,0,49,2,absolute,one,3,1,3,1,6,6,5,5,4,4,4,6
515,Male,0,34,2,absolute,one,2,1,3,3,6,5,5,6,2,4,1,4
516,Male,0,41,2,absolute,one,1,1,3,3,7,3,7,7,2,2,2,6
517,Female,1,57,3,flexible,repeat,3,4,4,5,6,2,6,6,2,2,1,2
518,Male,1,45,3,flexible,repeat,4,3,4,3,4,5,5,4,3,5,4,4
519,Male,4,34,1,absolute,repeat,2,2,4,4,6,6,5,6,3,3,2,3
520,Female,5+,27,4,flexible,one,2,2,2,3,4,3,4,4,5,5,5,2
521,Female,1,33,4,flexible,one,3,3,3,3,3,3,4,4,3,3,3,5
522,Female,1,68,4,flexible,one,4,3,4,3,6,3,5,5,2,2,2,7
523,Female,0,58,3,flexible,repeat,2,3,2,2,2,1,2,2,4,4,4,2
524,Male,5+,22,3,flexible,repeat,2,3,3,4,2,2,5,5,2,5,3,6
525,Male,1,31,4,flexible,one,3,4,4,3,4,6,5,6,4,5,3,5
526,Female,0,40,4,flexible,one,3,3,3,4,5,4,5,5,2,3,3,3
527,Male,2,25,3,flexible,repeat,2,3,4,4,5,7,6,6,2,2,2,5
528,Male,1,35,1,absolute,repeat,4,4,5,5,7,3,7,7,1,1,1,3
529,Male,1,29,3,flexible,repeat,3,4,3,4,3,3,4,6,6,5,6,5
530,Female,0,62,2,absolute,one,3,2,3,3,6,6,6,6,2,2,2,7
531,Female,0,46,3,flexible,repeat,3,2,2,2,4,4,4,4,3,4,3,4
532,Male,3,29,1,absolute,repeat,3,1,4,4,4,6,5,6,2,2,1,6
533,Male,0,28,4,flexible,one,3,4,4,4,2,2,7,6,2,2,2,5
534,Female,0,22,2,absolute,one,1,1,3,3,7,7,7,6,5,3,1,4
535,Female,2,27,3,flexible,repeat,3,3,3,4,4,3,5,5,3,4,4,7
536,Male,0,30,3,flexible,repeat,4,4,4,4,2,2,4,4,2,2,2,4
537,Male,0,27,1,absolute,repeat,3,2,4,4,5,6,4,5,3,3,2,3
538,Female,0,24,1,absolute,repeat,4,2,3,4,6,5,5,6,2,3,2,3
539,Female,2,5d5dc2d37bfc8400013b653c,2,absolute,one,2,1,4,4,7,7,7,7,2,2,2,1
540,Female,2,30,2,absolute,one,2,2,3,3,5,5,6,5,2,2,2,1
541,Male,1,63,4,flexible,one,3,4,4,4,4,3,7,6,2,2,1,6
542,Female,2,30,4,flexible,one,4,3,4,4,6,6,7,6,2,2,1,6
543,Male,2,32,1,absolute,repeat,2,1,5,5,7,7,7,7,1,1,1,6
544,Female,0,34,1,absolute,repeat,3,1,3,3,7,7,7,7,2,2,2,4
545,Male,3,32,1,absolute,repeat,2,1,4,3,7,6,6,6,2,2,1,3
546,Male,5+,35,2,absolute,one,3,3,4,4,6,6,6,6,2,2,2,6
547,Male,0,39,4,flexible,one,3,3,3,3,4,2,5,5,2,3,2,6
548,Male,1,35,3,flexible,repeat,3,3,4,3,6,5,5,5,4,3,4,5
549,Female,2,31,1,absolute,repeat,2,1,4,4,7,7,5,6,1,1,2,7
550,Female,1,36,4,flexible,one,3,3,3,3,2,4,4,2,5,5,5,5
551,Female,1,19,3,flexible,repeat,3,4,3,3,2,2,3,3,6,5,5,5
552,Female,0,27,4,flexible,one,3,3,3,3,3,3,3,3,2,2,2,5
553,Male,1,31,3,flexible,repeat,4,4,4,4,2,1,3,3,1,1,1,4
554,Male,0,35,4,flexible,one,4,3,4,3,7,5,5,6,4,2,3,6
555,Male,0,60,1,absolute,repeat,1,1,3,3,7,6,6,6,1,1,1,6
556,Male,0,50,4,flexible,one,3,4,4,4,6,3,6,7,1,2,1,6
557,Female,1,30,3,flexible,repeat,2,3,3,3,4,4,4,4,2,2,3,3
558,Male,1,29,3,flexible,repeat,3,2,2,3,4,5,3,4,5,5,5,4
559,Male,5+,35,2,absolute,one,3,3,3,3,6,6,6,6,2,2,3,6
560,Male,1,29,2,absolute,one,2,2,4,4,6,5,6,3,2,3,1,6
561,Male,3,24,1,absolute,repeat,3,1,3,3,5,6,5,5,2,2,2,2
562,Male,0,32,2,absolute,one,2,1,1,1,1,1,2,2,6,6,6,6
563,Female,0,36,4,flexible,one,2,2,3,3,2,2,5,4,2,3,2,6
564,Female,0,25,3,flexible,repeat,3,3,3,3,5,6,5,5,2,2,2,2
565,Female,3,23,2,absolute,one,3,1,3,2,6,7,4,5,3,4,2,4
566,Male,0,27,3,flexible,repeat,3,3,3,3,4,5,4,4,4,4,3,5
567,Female,2,25,1,absolute,repeat,2,1,5,5,6,6,6,6,1,1,1,5
568,Female,4,41,4,flexible,one,3,3,4,4,1,1,6,6,1,1,1,5
569,Female,2,20,3,flexible,repeat,4,3,4,3,5,5,3,3,3,4,2,5
570,Female,1,26,3,flexible,repeat,3,4,4,4,6,6,5,5,3,3,2,3
571,Male,0,25,2,absolute,one,3,3,3,3,4,5,6,5,4,5,4,6
572,Female,0,20,2,absolute,one,2,1,4,3,7,6,4,5,3,3,1,6
573,Female,1,29,1,absolute,repeat,2,2,4,4,6,6,6,6,2,2,2,4
574,Male,2,28,4,flexible,one,2,3,3,3,2,6,2,2,4,4,3,4
575,Female,1,22,4,flexible,one,4,3,4,3,2,2,5,5,2,3,2,5
576,Male,0,27,3,flexible,repeat,3,3,3,3,2,3,3,2,4,4,4,3
577,Male,1,35,4,flexible,one,4,3,4,3,4,2,4,5,3,3,4,6
578,Male,0,25,4,flexible,one,3,3,3,3,4,4,4,4,4,4,4,4
579,Male,0,22,3,flexible,repeat,4,5,5,5,7,2,7,7,1,2,1,7
580,Male,0,35,1,absolute,repeat,3,3,3,4,5,4,5,5,2,2,2,4
581,Male,4,38,2,absolute,one,2,1,3,3,4,4,4,5,3,3,3,3
582,Male,0,23,1,absolute,repeat,3,1,4,3,5,3,5,5,4,4,4,5
583,Male,2,31,2,absolute,one,1,1,1,1,4,4,4,4,4,4,4,1
584,Male,0,33,2,absolute,one,2,1,3,3,7,6,7,7,2,2,1,4
585,Male,0,39,4,flexible,one,3,3,3,3,4,4,4,4,2,3,3,4
586,Male,1,21,2,absolute,one,3,3,4,3,5,7,5,5,3,2,2,7
587,Female,0,45,1,absolute,repeat,3,1,3,1,7,7,6,6,1,1,1,5
588,Female,0,48,3,flexible,repeat,3,3,3,4,5,4,4,4,2,2,4,3
589,Male,2,26,1,absolute,repeat,2,1,3,3,6,6,6,6,3,3,3,6
590,Female,0,39,4,flexible,one,3,3,3,3,4,4,5,4,3,3,4,2
