ID,Q793_1,Q658_1,Q658_2,Q658_3,Q658_4,Q658_5,Q668_1,Q668_2,Q668_3,Q846_1,Q846_2,Q847_1,Q796,Q7,Q8,Q789,Q10,Q819,Q820,condition,random,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,d1,g1,imm
404,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,no,Female,35,Republican,If I approve or dissapprove of a candidate based on ethics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,25206,absolute,no,7,7,7,7,7,1,1,1,6,6,7
405,Not at all likely,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Not very,Not very,Not at all,Sometimes,Sometimes,Very,Not in particular - most don't lie this blatantly. ,Male,59,Other,To assess the impact of a politician being caught in a verifiable lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,91543,flexible,yes,5,4,6,5,4,2,2,1,4,4,6
406,Not very likely,Agree,Agree,Agree,Agree,Strongly agree,Not at all,Not very,Not very,Pretty often,Pretty often,Very,No specific politician. There are many that are like him though.,Female,49,Democrat,To see if people disapproved of politicians lying?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,90153,absolute,no,6,6,6,6,7,1,2,2,5,5,6
407,Slightly likely,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Slightly,Slightly,Slightly,Pretty often,Pretty often,Somewhat,Mary Fallin (former governor of Oklahoma),Female,36,Democrat,If peoples views and opinions will change about a candidate after receiving proof of deceit.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,77001,flexible,no,4,6,4,4,6,3,3,3,5,5,4
408,Very likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Not very,Not very,Not very,Sometimes,Sometimes,Somewhat,all Republicans in office right now lol,Female,34,Democrat,ethics in politics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,85747,flexible,yes,4,4,4,6,3,2,2,2,4,4,4
409,Moderately likely,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Extremely,Extremely,Very,Frequently,Pretty often,Moderately,"thank you for bringing this up.i see lying as a complicated issue.as a politician,it is sometimes okay to lie",Male,48,Republican,very useful,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,43012,flexible,no,7,7,6,5,6,7,7,6,6,5,5
410,Moderately likely,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Not very,Not very,Not very,Pretty often,Pretty often,Moderately,"Hillary & Bill Clinton, Obama, Biden",Prefer not to answer,68,Republican,don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,33186,flexible,no,5,5,4,6,6,2,2,2,5,5,5
411,Not at all likely,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not at all,Frequently,Frequently,Extremely,All of them. Trump in particular. ,Male,45,Democrat,Views on lying for political gain and how people perceive the morality of it.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,88739,flexible,no,7,4,7,7,7,2,2,1,6,6,7
412,Not very likely,Strongly agree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Not very,Not very,Not at all,Pretty often,Frequently,Very,"Not any particular one, but just a lot in general.",Male,27,Other,To see how people value moral character in a candidate when it is discovered that a candidate from within their own party is a liar.,,"Yes, he did lie about his campaign contributions.",5,64052,control,no,7,2,7,7,4,2,2,1,5,6,6
413,Not very likely,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Not very,Not very,Not very,Pretty often,Frequently,Somewhat,"All of them, honestly.",Male,25,Democrat,Not sure what the goal is,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,86956,flexible,yes,5,4,5,4,5,2,2,2,5,6,4
414,Not very likely,Neither agree nor disagree,Disagree,Agree,Strongly agree,Somewhat agree,Not very,Not very,Not at all,Frequently,Frequently,Very,"Offhand, no it did not.",Male,70,Republican,Measuring voters' tolerance and support for politicians who are willing to blatantly mislead and deceive us.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,26685,flexible,no,4,2,6,7,5,2,2,1,6,6,6
415,Not at all likely,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Not very,Somewhat,Not very,Frequently,Frequently,Very,N/A,Female,50,Other,How people think about politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,42076,absolute,no,7,6,6,7,7,2,4,2,6,6,6
416,Somewhat likely,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Very,Yes,Male,39,Other,"Perception of political candidates if you agree on their claimed policy stances, but later found out they were untruthful",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,42686,absolute,no,5,5,4,4,4,3,3,3,4,4,6
417,Very likely,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Moderately,Very,Very,Sometimes,Once in a while,Somewhat,NONE,Female,40,Democrat,We are researchers at the University of Chicago doing a psychology research study,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,40925,absolute,yes,3,3,5,6,3,5,6,6,4,3,4
418,Not very likely,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Somewhat,Moderately,Once in a while,Once in a while,Moderately,just about all of them,Male,47,Other,confirmation biases,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,55200,absolute,yes,4,5,4,4,5,4,4,5,3,3,5
419,Not at all likely,Agree,Agree,Agree,Agree,Somewhat disagree,Not at all,Not at all,Not at all,Frequently,Frequently,Very,Trump,Male,28,Other,Not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,63239,flexible,yes,6,6,6,6,3,1,1,1,6,6,6
420,Moderately likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat,Moderately,Slightly,Once in a while,Sometimes,Somewhat,Pretty much every politician.,Female,42,Republican,Judgments and perceptions,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,64795,absolute,no,3,3,3,3,5,4,5,3,3,4,4
421,Moderately likely,Neither agree nor disagree,Somewhat agree,Agree,Agree,Disagree,Not very,Slightly,Not very,Sometimes,Pretty often,Moderately,Kamala Harris and similar mainstream Democratic politicians who have presented conflicting information about the support they receive from PACs.,Male,31,Democrat,To assess how respondents rate the morality of politicians they support who are caught lying as compared to the morality of politicians who they do not support who are caught lying.,,"Yes, he did lie about his campaign contributions.",5,30775,control,no,4,5,6,6,2,2,3,2,4,5,5
422,Somewhat likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Somewhat,Unsure,Male,23,Democrat,N/A,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,44777,flexible,yes,4,4,4,4,4,4,4,4,4,4,4
423,Not very likely,Somewhat disagree,Somewhat disagree,Agree,Agree,Disagree,Not at all,Slightly,Not at all,Pretty often,Frequently,Very,"No, because even though there are liars in politics they don't say that they think that it's OK.",Male,67,Democrat,I don't know. To see how we accept liars in politics?,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,85561,flexible,no,3,3,6,6,2,1,3,1,5,6,6
424,Not very likely,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Slightly,Slightly,Not very,Frequently,Frequently,Very,No.,Male,28,Democrat,Research about if politican is ok to tell lies.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,39488,flexible,no,5,6,4,4,6,3,3,2,6,6,6
425,Not very likely,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat disagree,Not at all,Not at all,Not very,Frequently,Frequently,Not at all,yes,Female,40,Other,How people perceive of political candidates. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,23896,flexible,no,4,4,6,6,3,1,1,2,6,6,1
426,Not very likely,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Frequently,Frequently,Moderately,Biden and Harris,Male,30,Other,Evaluating a candidate ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,60769,absolute,yes,7,4,7,7,7,1,1,1,6,6,5
427,Slightly likely,Neither agree nor disagree,Somewhat disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Slightly,Slightly,Slightly,Once in a while,Sometimes,Moderately,"No, not anyone specifically, although I believe many politicians take this Machiavellian approach.",Male,45,Democrat,I am really not sure.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,79212,flexible,yes,4,3,6,4,4,3,3,3,3,4,5
428,Moderately likely,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Not very,Not very,Not very,Pretty often,Frequently,Moderately,no,Male,25,Democrat,not sure,,"Yes, he did lie about his campaign contributions.",5,86481,control,no,4,4,5,5,4,2,2,2,5,6,5
429,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Always,Always,Extremely,Joe Biden,Female,35,Other,To judge a politician on whether he is moral or not.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,52938,flexible,no,7,7,7,7,7,2,2,2,7,7,7
430,Slightly likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Pretty often,Very,No.,Male,32,Democrat,People's views on politicians who lie. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,39712,absolute,yes,6,6,6,6,6,2,2,2,5,5,6
431,Very likely,Somewhat disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Moderately,Moderately,Somewhat,Once in a while,Almost never,Moderately,Bernie Sanders,Male,29,Democrat,"To see how big of hypocrites WE are if we hate Matthew Johnson but love Bernie Sanders! haha, just kidding, just probably about how we make excuses for when politicians lie.",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,14418,absolute,no,3,4,2,2,5,5,5,4,3,2,5
432,Moderately likely,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Extremely,Moderately,Very,Almost never,Once in a while,Slightly,Yes. He remembers me George W Bush,Male,26,Democrat,The study try to analyze people's perception on political candidates,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,41646,flexible,yes,5,3,2,3,2,7,5,6,2,3,3
433,Moderately likely,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Slightly,Somewhat,Moderately,Sometimes,Pretty often,Somewhat,Not really,Male,24,Democrat,not sure,,"Yes, he did lie about his campaign contributions.",5,84207,control,no,5,4,3,4,5,3,4,5,4,5,4
