ID,Q793_1,Q658_1,Q658_2,Q658_3,Q658_4,Q658_5,Q668_1,Q668_2,Q668_3,Q846_1,Q846_2,Q847_1,Q796,Q7,Q8,Q789,Q10,Q819,Q820,condition,random,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,d1,g1,imm
28,Somewhat likely,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Moderately,Somewhat,Moderately,Sometimes,Frequently,Moderately,no,Female,56,Democrat,morality,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,63690,flexible,no,5,4,5,4,6,5,4,5,4,6,5
29,Somewhat likely,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Slightly,Somewhat,Somewhat,Sometimes,Sometimes,Slightly,no,Male,34,Democrat,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,14719,absolute,yes,5,6,5,5,7,3,4,4,4,4,3
30,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Sometimes,Sometimes,Not very,Elizabeth Warren,Male,35,Other,How 1 lie affects my willingness to vote for a candidate ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,86912,absolute,yes,6,6,6,6,6,2,2,2,4,4,2
31,Somewhat likely,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Slightly,Slightly,Slightly,Pretty often,Pretty often,Slightly,Donald Trump,Female,40,Other,To see what we thought about candidates lying,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,51632,absolute,yes,3,2,3,3,4,3,3,3,5,5,3
32,Somewhat likely,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat,Somewhat,Somewhat,Once in a while,Sometimes,Slightly,All of them,Male,34,Other,To see how we feel about politicians who seemingly lie out of habit. Comes with the territory!,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,19600,absolute,yes,5,4,5,4,3,4,4,4,3,4,3
33,Not very likely,Strongly agree,Strongly agree,Agree,Agree,Agree,Not at all,Not at all,Not at all,Always,Always,Extremely,no,Male,28,Republican,to see how people react to a lying politician,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,17321,absolute,no,7,7,6,6,6,1,1,1,7,7,7
34,Somewhat likely,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat,Somewhat,Somewhat,Once in a while,Once in a while,Slightly,no,Female,51,Democrat,How the character of political candidates affects voting. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,70796,absolute,yes,4,6,5,5,6,4,4,4,3,3,3
35,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Extremely,donald trump,Male,30,Democrat,evaluate hypocrisy in politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,85169,absolute,yes,7,7,7,7,7,3,3,3,4,4,7
36,Moderately likely,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Slightly,Slightly,Slightly,Pretty often,Pretty often,Somewhat,No,Male,41,Republican,Ethics in Politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,14546,absolute,no,5,5,5,4,5,3,3,3,5,5,4
37,Slightly likely,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Somewhat,Slightly,Somewhat,Sometimes,Sometimes,Slightly,No,Male,32,Republican,Not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,90186,flexible,no,3,3,2,3,2,4,3,4,4,4,3
38,Somewhat likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Moderately,all of them,Male,29,Republican,to see how I'd vote based on the scenario,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,43534,absolute,no,7,7,7,7,7,3,3,3,4,4,5
39,Not very likely,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Not very,Not very,Not very,Frequently,Frequently,Moderately,all of them,Male,31,Democrat,Not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,33959,flexible,yes,6,5,6,6,4,2,2,2,6,6,5
40,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat,Somewhat,Not very,Pretty often,Pretty often,Moderately,all of them,Male,29,Other,Still voting for a candidate even though they are liars? ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,61495,absolute,no,7,7,7,7,7,4,4,2,5,5,5
41,Slightly likely,Somewhat agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Slightly,Slightly,Slightly,Once in a while,Sometimes,Very,Lindsey Graham,Female,34,Democrat,To see how we feel about a candidate that was lying about campaign contributions,,"Yes, he did lie about his campaign contributions.",5,21754,control,no,5,7,6,6,4,3,3,3,3,4,6
42,Moderately likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat,Moderately,Slightly,Sometimes,Sometimes,Moderately,"I mean it kind of brought any and all politicians to mind, I don't know if there is a single would I would trust, I think they all lie to some degree. Maybe I trust AOC more than the average politician, thats it though.",Female,32,Democrat,not sure,,"Yes, he did lie about his campaign contributions.",5,49304,control,no,5,5,5,5,4,4,5,3,4,4,5
43,Not very likely,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat,Somewhat,Not very,Sometimes,Sometimes,Somewhat,Trump,Male,23,Democrat,To examine how people perceive a relatively small 'lie' from a politician after that politician has claimed to be completely honest.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,18315,absolute,yes,6,6,5,6,6,4,4,2,4,4,4
44,Slightly likely,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Not very,Not very,Slightly,Sometimes,Sometimes,Moderately,It seemed like he represented all politicians,Female,34,Republican,how we view someone based on their lies,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,60518,absolute,yes,5,5,5,4,6,2,2,3,4,4,5
45,Slightly likely,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Pretty often,Frequently,Slightly,No,Male,36,Republican,To see what I tough about lying in Polictics ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,68942,absolute,yes,6,5,7,7,7,2,2,2,5,6,3
46,Not very likely,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Pretty often,Pretty often,Moderately,It brings all politicians to mind. I cannot think of one politician that I feel I can trust more than maybe 50% of the time. It seems to be all about power anymore and now the values and helping regular Americans out.,Female,45,Other,how much can politicians be trusted,,"Yes, he did lie about his campaign contributions.",5,76660,control,no,5,6,5,5,5,2,2,2,5,5,5
47,Not at all likely,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Sometimes,Sometimes,Moderately,"No, it did not bring any to mind.",Male,35,Democrat,Perception of political lies.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,61828,flexible,no,5,6,5,5,5,2,2,2,4,4,5
48,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Extremely,no,Female,32,Democrat,I do not know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,40222,absolute,no,7,7,7,7,7,1,1,1,7,7,7
49,Not very likely,Agree,Somewhat agree,Agree,Agree,Agree,Slightly,Slightly,Not very,Pretty often,Sometimes,Moderately,no,Female,33,Other,How peoples idea of morality lines up with campaign promises. ,,"Yes, he did lie about his campaign contributions.",5,12746,control,no,6,5,6,6,6,3,3,2,5,4,5
50,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Pretty often,Pretty often,Very,Donald Trump,Male,27,Other,Opinions on lying in politics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,20048,flexible,no,7,7,7,7,7,1,1,1,5,5,6
51,Not very likely,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Not very,Not very,Not very,Pretty often,Always,Very,No.,Female,38,Democrat,Thoughts about honesty.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,26768,flexible,yes,6,4,6,4,4,2,2,2,5,7,6
52,Very likely,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Agree,Moderately,Very,Very,Always,Frequently,Moderately,Politics,Female,30,Republican,Good ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,53837,absolute,yes,4,6,3,6,6,5,6,6,7,6,5
53,Slightly likely,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Slightly,Slightly,Slightly,Pretty often,Pretty often,Somewhat,all of them?,Female,31,Democrat,"view on politicians lying, esp in your party",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,67438,absolute,yes,5,3,5,5,6,3,3,3,5,5,4
54,Not at all likely,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Not at all,Not at all,Not at all,Always,Always,Very,None that I can think of at this time.,Female,32,Republican,How people view lying in politics ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,24410,flexible,no,1,1,7,7,1,1,1,1,7,7,6
55,Not very likely,Agree,Agree,Agree,Agree,Strongly agree,Slightly,Slightly,Not very,Sometimes,Frequently,Moderately,no in particular ,Male,35,Republican,To see if we thought it was OK to lie in certain situations. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,41883,absolute,no,6,6,6,6,7,3,3,2,4,6,5
56,Moderately likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Not at all,Not at all,Not at all,Sometimes,Sometimes,Moderately,Donald Trump,Female,33,Democrat,About politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,91672,absolute,yes,5,5,5,5,5,1,1,1,4,4,5
57,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not at all,Pretty often,Pretty often,Very,Matthew Johnson would be representative of pretty much every politician who you would find running for office anywhere at any time.,Male,46,Other,views on a political candidate,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,94437,absolute,no,7,7,7,7,7,2,2,1,5,5,6
58,Slightly likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Slightly,Slightly,Slightly,Once in a while,Once in a while,Slightly,"every single one, it is what it is...",Male,40,Republican,perceptions and beliefs of a scenario involving a politician running for senate.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,39713,flexible,yes,3,3,3,3,3,3,3,3,3,3,3
59,Slightly likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Pretty often,Frequently,Somewhat,not in particular,Male,28,Democrat,perceptions of hypocrisy ,,"Yes, he did lie about his campaign contributions.",5,69598,control,no,7,7,7,7,7,2,2,2,5,6,4
60,Somewhat likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat,Somewhat,Somewhat,Once in a while,Once in a while,Somewhat,no,Male,23,Democrat,Politics and money,,"Yes, he did lie about his campaign contributions.",5,97144,control,no,3,3,3,3,3,4,4,4,3,3,4
61,Somewhat likely,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Slightly,Slightly,Slightly,Pretty often,Sometimes,Very,some democrats like to pretend they're moral in every way but they actually are very immoral in certain aspects,Female,32,Democrat,Bias,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,28679,absolute,yes,5,3,5,4,5,3,3,3,5,4,6
62,Not very likely,Agree,Agree,Agree,Neither agree nor disagree,Agree,Not very,Not very,Not very,Sometimes,Always,Somewhat,no,Female,25,Democrat,honesty in politicians and the relation between how we view them when we can see actual data,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,77385,flexible,yes,6,6,6,4,6,2,2,2,4,7,4
63,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Pretty often,Moderately,no,Female,28,Other,no,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,57444,absolute,no,6,6,6,6,6,2,2,2,5,5,5
64,Somewhat likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,Somewhat,Sometimes,Once in a while,Slightly,No one in particular. Most politicans take PAC money,Male,30,Democrat,To judge trustworthiness among politicians,,"Yes, he did lie about his campaign contributions.",5,49975,control,no,5,5,5,5,5,4,4,4,4,3,3
65,Not very likely,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Not very,Slightly,Not very,Once in a while,Once in a while,Very,"Not really. To me, they all lie to some degree. ",Female,62,Other,I don't know.,,"Yes, he did lie about his campaign contributions.",5,81680,control,no,6,6,5,5,4,2,3,2,3,3,6
66,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Extremely,Mitch McConnell,Male,31,Democrat,To see whether I see dems or reps as being crooked. ,,"Yes, he did lie about his campaign contributions.",5,71185,control,no,7,7,7,7,7,1,1,1,7,7,7
67,Moderately likely,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Not very,Not very,Slightly,Sometimes,Frequently,Slightly,No none in particular to me.,Male,35,Republican,How we feel about what someone says and what they actually do.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,40518,flexible,no,4,4,5,6,5,2,2,3,4,6,3
68,Slightly likely,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Slightly,Slightly,Not very,Pretty often,Frequently,Moderately,no,Male,52,Republican,unsure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,85738,flexible,yes,5,4,5,5,4,3,3,2,5,6,5
69,Not at all likely,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,all of them,Female,31,Other,Whether I prefer an honest politician to a politician who claims to hold the same positions as me,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,46560,flexible,no,1,1,6,6,1,1,1,1,6,6,7
70,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Pretty often,Always,Very,No,Female,25,Democrat,People's opinions on politicians who lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,44608,flexible,no,7,7,7,7,7,2,2,2,5,7,6
71,Not at all likely,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Agree,Not very,Slightly,Not very,Frequently,Never ever,Very,Joe Biden,Male,55,Other,the lying politician,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,29191,flexible,no,5,3,7,6,6,2,3,2,6,1,6
72,Slightly likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Slightly,Somewhat,Slightly,Sometimes,Sometimes,Somewhat,most of them,Male,66,Democrat,I don't know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,65470,absolute,no,5,5,5,5,6,3,4,3,4,4,4
73,Slightly likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Not very,Not very,Not very,Once in a while,Once in a while,Somewhat,Trump,Male,31,Democrat,Determine if a politician lying has an affect on whether or not to vote for them,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,94276,absolute,yes,5,5,5,5,6,2,2,2,3,3,4
74,Not very likely,Strongly agree,Agree,Agree,Agree,Agree,Slightly,Slightly,Not at all,Sometimes,Pretty often,Very,"No, he sounds pretty standard for a politician.",Female,24,Democrat,Opinions on politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,21697,absolute,no,7,6,6,6,6,3,3,1,4,5,6
75,Not very likely,Agree,Agree,Agree,Agree,Agree,Not at all,Not at all,Not at all,Pretty often,Sometimes,Extremely,almost all of them!,Female,53,Republican,People's acceptance of lying by politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,91302,absolute,no,6,6,6,6,6,1,1,1,5,4,7
76,Not very likely,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Not very,Not very,Not at all,Frequently,Frequently,Extremely,Trump,Female,47,Other,To see if people think lying is morally worse from people who admit that they will be dishonest,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,69593,flexible,no,5,3,5,6,3,2,2,1,6,6,7
77,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Sometimes,Very,no,Female,30,Other,ethics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,15804,flexible,yes,6,6,6,6,6,2,2,2,5,4,6
78,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Not very,Not very,Not very,Frequently,Frequently,Very,pretty much all of them.,Female,44,Republican,To see if opinions can be changed when given more information.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,28698,flexible,yes,7,7,7,7,6,2,2,2,6,6,6
79,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Extremely,"Everyone one of them, I think they are all liars. Biden is the politican that comes to mind for me.",Female,37,Republican,If I would still vote for someone who lies,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,22881,absolute,yes,7,7,7,7,7,1,1,1,7,7,7
80,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,This reminded me of how Trump asked for donations for his legal funds but pocketed them unless they were of a certain amount.,Female,33,Democrat,honesty,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,26585,flexible,no,7,7,7,7,7,1,1,1,6,6,7
81,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Frequently,Very,"Trump, Mconnell ",Female,34,Democrat,If someone admitting they're lying would make you not want to vote for them,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,13359,flexible,no,7,7,7,7,7,1,1,1,7,6,6
82,Not very likely,Strongly agree,Strongly agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Frequently,Very,"All politicians, but mainly Gavin Newsom, who is a hypocrite and has been caught lying recently. ",Male,34,Republican,To gauge how moral we feel it is for a politician to be caught lying. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,14015,flexible,yes,7,7,6,6,6,2,2,2,5,6,6
83,Moderately likely,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very,Very,Very,Once in a while,Once in a while,Slightly,bill clinton,Male,34,Republican,to see how i feel about politicians lying,,"Yes, he did lie about his campaign contributions.",5,88962,control,no,1,1,1,1,1,6,6,6,3,3,3
84,Not very likely,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Not very,Not very,Not very,Frequently,Frequently,Very,No.,Female,32,Other,How lying impacts voting decisions.,,"Yes, he did lie about his campaign contributions.",5,11611,control,no,4,4,6,6,4,2,2,2,6,6,6
85,Not at all likely,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Not at all,Not at all,Not at all,Sometimes,Sometimes,Very,Donald Trump,Female,43,Democrat,To determine how we feel about an ethical situation.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,86465,absolute,yes,7,7,6,6,7,1,1,1,4,4,6
86,Slightly likely,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Moderately,Moderately,Moderately,Once in a while,Once in a while,Somewhat,Trump,Male,30,Democrat,Opinions about small lies,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,81916,absolute,yes,4,6,5,6,6,5,5,5,3,3,4
87,Moderately likely,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Very,Very,Moderately,Pretty often,Sometimes,Very,no,Male,48,Republican, judgment,,"Yes, he did lie about his campaign contributions.",5,72284,control,no,5,4,6,5,6,6,6,5,5,4,6
88,Slightly likely,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat,Somewhat,Slightly,Once in a while,Sometimes,Moderately,"most of them can't be trusted IMO, but Trump is always making stuff up of lying ",Male,44,Republican,politicians and trustworthiness,,"Yes, he did lie about his campaign contributions.",5,99521,control,no,6,6,5,5,4,4,4,3,3,4,5
89,Moderately likely,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Very,Very,Very,Frequently,Frequently,Very,HE WILL BE A GOOD POLITICIAN,Female,30,Democrat,NICE SURVEY,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,52626,flexible,yes,6,5,6,5,6,6,6,6,6,6,6
90,Very likely,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Very,Somewhat,Slightly,Once in a while,Pretty often,Slightly,"Not particulary. Almost all politician accept PAC money, and they all like to emphasize their individual contributions as a way of demonstrating their broad base of support. ",Male,37,Democrat,To determine whether ethics in politics affects voter behavior. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,55577,absolute,yes,2,2,5,5,5,6,4,3,3,5,3
91,Not very likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Slightly,Not very,Sometimes,Sometimes,Very,Probably all of them. ,Female,40,Republican,Lying,,"Yes, he did lie about his campaign contributions.",5,87510,control,no,5,5,5,5,5,2,3,2,4,4,6
92,Not very likely,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Not very,Not very,Not very,Frequently,Frequently,Moderately,All politicians lie so I got a generic politician image,Female,51,Other,I do not know the purpose.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,32928,flexible,no,6,3,6,6,5,2,2,2,6,6,5
93,Not at all likely,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Not very,Not very,Not at all,Frequently,Frequently,Very,Pretty much all of them,Female,37,Other,Dishonesty in political campaigns,,"Yes, he did lie about his campaign contributions.",5,88163,control,no,7,4,6,7,7,2,2,1,6,6,6
94,Moderately likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Not very,Joe Biden,Male,33,Republican,Examine how people interpreted a lying politician if said politician was from their own party,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,74612,absolute,yes,5,5,5,5,5,4,4,4,4,4,2
95,Not at all likely,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Not at all,Not at all,Not at all,Frequently,Always,Extremely,Joe biden,Male,42,Republican,Decision making ,,"Yes, he did lie about his campaign contributions.",5,26923,control,no,7,6,7,5,5,1,1,1,6,7,7
96,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Sometimes,Sometimes,Moderately,No,Female,32,Republican,"
I'm not sure",,"Yes, he did lie about his campaign contributions.",5,84549,control,no,7,7,7,7,7,2,2,2,4,4,5
97,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Sometimes,Pretty often,Somewhat,no,Male,42,Republican,I don't know.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,23137,absolute,yes,6,6,6,6,6,2,2,2,4,5,4
98,Somewhat likely,Agree,Agree,Somewhat agree,Agree,Agree,Slightly,Slightly,Slightly,Once in a while,Sometimes,Moderately,Too many to name...,Male,37,Democrat,To see how different demographics respond to the scenario?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,50521,absolute,yes,6,6,5,6,6,3,3,3,3,4,5
99,Not very likely,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Not very,Not very,Not very,Pretty often,Frequently,Very,"It brings most politicians to mind. I can't think of one in particular. They all say they get donations at ""ground level"", and then find out it was mostly PAC's and mega donors. ",Female,36,Democrat,"To see how people gauge a politician on something seemingly small and inconsequential, yet it speaks volumes about their character. ",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,31339,absolute,yes,7,5,7,7,5,2,2,2,5,6,6
100,Not very likely,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Not very,Slightly,Not very,Sometimes,Sometimes,Moderately,none,Female,30,Republican,Judgements on dishonesty in political campaigns,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,55599,flexible,no,5,5,5,4,5,2,3,2,4,4,5
101,Not very likely,Agree,Disagree,Agree,Strongly agree,Agree,Not very,Not very,Not very,Sometimes,Pretty often,Somewhat,lindsay graham,Male,43,Democrat,judgments of ethical behavior based on political beliefs,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,91224,absolute,yes,6,2,6,7,6,2,2,2,4,5,4
102,Not very likely,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Moderately,Moderately,Not at all,Once in a while,Always,Extremely,"Bernie Sanders claims he does not take contributions from PAC, I wonder how truthful it is.",Male,44,Republican,"if you catch a politician lying about where his money comes from, does that make them somebody you would not vote for",,"Yes, he did lie about his campaign contributions.",5,91249,control,no,5,5,5,6,7,5,5,1,3,7,7
103,Slightly likely,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Not very,Not very,Slightly,Pretty often,Sometimes,Very,Donald Trump,Female,31,Other,Our perception on politics.,,"Yes, he did lie about his campaign contributions.",5,31999,control,no,7,6,7,5,7,2,2,3,5,4,6
104,Somewhat likely,Agree,Somewhat disagree,Strongly agree,Agree,Strongly agree,Not very,Not very,Slightly,Pretty often,Pretty often,Moderately,"Almost every single one, mostly Elizabeth Warren or Pete Buttigeg",Female,29,Democrat,To see what effect a lie had on us,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,82563,absolute,yes,6,3,7,6,7,2,2,3,5,5,5
105,Not very likely,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Not very,Not very,Not at all,Sometimes,Always,Extremely,"yes, our current president for one",Male,67,Democrat,assess attitudes towards honesty or the lack of it in politics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,60045,flexible,yes,7,6,7,4,4,2,2,1,4,7,7
106,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Once in a while,Sometimes,Moderately,yes.  Joe Biden,Male,42,Republican,The purpose of the study is to see if voters would still vote for a candidate who is immoral or is a hypocrite. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,39098,absolute,no,6,6,6,6,6,2,2,2,3,4,5
