id,gender,age,group,stance,condition,comm_honest,honest_f,honest_e,honest_l,Honest_compositeGD,m1,m2,m3,M_compositeGD,agree
282,Female,36,sometimes,its sometimes okay to lie,3,7,5,3,3,4.5,5,6,4,5,5
283,Male,39,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,4,5,4,4,4.25,6,6,5,5.666666667,5
284,Male,68,rarely,Its rarely okay to lie,2,6,6,5,4,5.25,6,6,6,6,5
285,Female,29,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,5,4,2,4,5,5,4,4.666666667,5
286,Female,34,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,3,5,3,4,3.75,4,4,4,4,4
287,Female,57,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,6,6,6,6,6,6,6,7
288,Male,44,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,6,6,6,5,6,5,5.333333333,5
289,Female,46,control,,10,6,6,6,5,5.75,7,7,6,6.666666667,NA
290,Female,57,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,6,6,6,6,6,6,6,7
291,Male,26,never,Its never okay to lie,1,7,7,7,7,7,6,6,6,6,3
292,Female,43,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,6,6,6,6,6,6,6,6
293,Male,32,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,4,6,5.5,6,6,6,6,7
294,Male,36,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,7,5,3,3,4.5,5,5,5,5,6
