id,gender,age,group,stance,condition,comm_honest,honest_f,honest_e,honest_l,Honest_compositeGD,m1,m2,m3,M_compositeGD,agree
85,Male,36,never-goodreason,"Its never okay to lie, except if you have a good reason",5,5,5,4,2,4,4,3,4,3.666666667,7
86,Male,30,never,Its never okay to lie,1,6,6,7,6,6.25,6,6,7,6.333333333,3
87,Female,34,sometimes,its sometimes okay to lie,3,7,7,2,2,4.5,7,6,6,6.333333333,4
88,Male,56,rarely,Its rarely okay to lie,2,6,6,6,6,6,6,6,6,6,7
89,Female,37,rarely,Its rarely okay to lie,2,6,6,6,6,6,6,6,6,6,6
90,Male,50,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,7,6,6,5,6,6,6,6,6,3
91,Male,35,never,Its never okay to lie,1,6,6,6,6,6,6,6,5,5.666666667,5
92,Female,25,rarely,Its rarely okay to lie,2,6,6,7,6,6.25,6,6,6,6,3
93,Female,42,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,6,1,4,4,5,5,5,5,5
94,Female,38,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,6,1,7,1,3.75,6,6,6,6,7
95,Female,42,never-goodreason,"Its never okay to lie, except if you have a good reason",5,7,7,6,7,6.75,6,6,6,6,6
96,Male,36,rarely,Its rarely okay to lie,2,5,6,5,5,5.25,5,5,4,4.666666667,6
97,Female,34,sometimes,its sometimes okay to lie,3,4,5,2,1,3,3,3,3,3,5
98,Female,41,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,7,6,7,6.5,6,6,6,6,7
99,Male,63,control,,10,6,6,4,5,5.25,5,5,5,5,NA
100,Male,62,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,6,6,6,6,6,6,6,6
101,Male,32,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,4,6,3,1,3.5,4,4,4,4,4
102,Female,48,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,6,6,6,6,6,6,6,6,7
103,Female,27,rarely,Its rarely okay to lie,2,4,4,4,4,4,4,4,4,4,5
104,Male,62,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,6,6,6,6,6,6,6,6
105,Female,23,sometimes,its sometimes okay to lie,3,5,5,4,3,4.25,5,5,5,5,5
106,Female,29,never,Its never okay to lie,1,6,7,7,7,6.75,6,6,6,6,5
107,Male,38,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,6,6,5,6,5.75,7,7,6,6.666666667,7
108,Female,41,control,,10,7,6,2,2,4.25,5,6,6,5.666666667,NA
109,Male,58,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,5,6,5,5,5.25,5,5,5,5,7
110,Female,24,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,6,6,6,6,6,6,6,7
111,Male,29,never,Its never okay to lie,1,7,6,5,6,6,7,7,6,6.666666667,5
112,Male,38,never,Its never okay to lie,1,6,7,5,6,6,6,7,6,6.333333333,6
113,Male,33,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,2,3,2,3,2.5,4,4,3,3.666666667,5
114,Female,29,never-harm,"Its never okay to lie, except if it prevents harm",4,6,7,6,6,6.25,6,6,6,6,5
115,Male,35,never-harm,"Its never okay to lie, except if it prevents harm",4,1,4,2,2,2.25,1,1,1,1,4
116,Male,26,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,5,6,6,6,5.75,6,6,6,6,7
117,Male,36,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,4,6,3,5,4.5,4,5,5,4.666666667,2
118,Male,43,control,,10,4,5,4,4,4.25,5,5,4,4.666666667,NA
119,Non-binary,33,sometimes,its sometimes okay to lie,3,4,5,3,5,4.25,5,6,5,5.333333333,5
120,Male,34,never-goodreason,"Its never okay to lie, except if you have a good reason",5,4,6,4,3,4.25,5,5,6,5.333333333,5
121,Male,46,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,4,3,2,2,2.75,5,4,4,4.333333333,4
122,Female,41,never-goodreason,"Its never okay to lie, except if you have a good reason",5,7,7,6,6,6.5,7,7,7,7,7
123,Male,39,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,5,5,4,2,4,5,5,5,5,2
124,Female,43,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,5,6,6,6,5.75,6,6,6,6,5
125,Female,34,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,2,6,2,2,3,2,3,3,2.666666667,2
126,Female,49,never-harm,"Its never okay to lie, except if it prevents harm",4,4,6,4,5,4.75,5,5,5,5,3
127,Male,63,control,,10,6,6,6,6,6,6,6,6,6,NA
128,Female,34,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,6,6,6,6,6,6,6,6,6
129,Female,65,sometimes,its sometimes okay to lie,3,4,6,4,5,4.75,6,6,6,6,5
130,Male,61,rarely,Its rarely okay to lie,2,3,3,5,5,4,5,6,3,4.666666667,6
131,Female,37,control,,10,6,6,2,5,4.75,6,6,5,5.666666667,NA
132,Male,27,control,,10,5,6,2,6,4.75,5,5,5,5,NA
133,Male,27,never,Its never okay to lie,1,6,7,6,7,6.5,6,5,5,5.333333333,2
134,Male,59,never-goodreason,"Its never okay to lie, except if you have a good reason",5,5,6,5,4,5,6,6,6,6,5
135,Female,44,rarely,Its rarely okay to lie,2,6,6,6,6,6,6,6,6,6,7
136,Male,26,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,5,6,2,5,4.5,5,6,4,5,5
137,Male,36,sometimes,its sometimes okay to lie,3,2,4,2,2,2.5,3,3,2,2.666666667,4
138,Male,47,never-goodreason,"Its never okay to lie, except if you have a good reason",5,3,5,2,2,3,3,3,2,2.666666667,3
139,Female,30,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,4,3,3,4,3.5,5,3,4,4,5
140,Female,33,rarely,Its rarely okay to lie,2,6,6,6,6,6,6,6,6,6,7
